language	bite	come	die	drink	eat	fly	give	hear	kill	know	lie	say	see	sit	sleep	stand	swim	walk	comments
english	bite	come	die	drink	eat	fly	give	hear	kill	know	lie	say	see	sit	sleep	stand	swim	walk	
russian	кусать	приходить	умирать	пить	есть	летать	давать	слышать	убивать	знать	лежать	говорить	видеть	сидеть	спать	стоять	плавать	гулять	
french	mordre	venir	mourir	boir	manger	voler	donner	entendre	tuer	savoir	se coucher	dire	voir	s'asseoir	dormir	se tenir debout	nager	marcher	
